pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2021-10-11,100.5,-1.64,5.43,"Doval, Camilo",572041,666808,,foul,,,,,4.0,AJ Pollock called out on strikes.,D,R,R,LAD,SF,S,,,0,0,2021,-0.31,1.07,-0.44,2.77,,,,1,9,Bot,,,,,,,4.055824993832647,-146.36614737085708,-4.621953751580146,-5.323070816871356,31.738608501975865,-15.95214150242827,3.41,1.56,197.0,89.8,58.0,101.1,2735.0,6.4,660919,457763,592178,456781,446334,543063,664774,621453,573262,54.08,,,,,,,,64,1,Cutter,0,1,0,1,1,0,0,1,Standard,Strategic,214.0,0.0,-0.043,,,,0.043,89.8,-1,-1,0.108,0.108,23,33,24,34,1,3,3.0,2.0,3.0,3.0,1.17,0.31,0.31,26.2
FC,2021-10-11,99.8,-1.62,5.47,"Doval, Camilo",621035,666808,field_out,hit_into_play,,,,,4.0,Chris Taylor flies out to center fielder Steven Duggar.,D,R,R,LAD,SF,X,8.0,fly_ball,0,1,2021,-0.61,1.03,-0.58,2.48,,,,0,9,Bot,143.97,71.06,,,,,4.303320641105932,-145.3732864575362,-5.368779533847334,-9.583577016817356,29.651322064391337,-16.43983580825902,3.41,1.56,321.0,89.7,35.0,100.7,2743.0,6.4,660919,457763,592178,456781,446334,543063,664774,621453,573262,54.07,0.046,0.063,0.0,1.0,0.0,0.0,3.0,63,2,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,217.0,-0.086,-0.227,,,0.115,0.227,89.7,-1,-1,0.194,0.194,23,30,24,31,1,3,3.0,2.0,3.0,1.0,1.23,0.61,0.61,26.1
SL,2021-10-11,87.3,-1.53,5.61,"Doval, Camilo",621035,666808,,called_strike,,,,,5.0,Chris Taylor flies out to center fielder Steven Duggar.,D,R,R,LAD,SF,S,,,0,0,2021,0.48,-0.19,-0.03,2.89,,,,0,9,Bot,,,,,,,2.6194230681923405,-127.15445800794927,-0.0506622181917137,4.666152845733008,25.217091013868146,-34.4190390816769,3.55,1.63,,,,87.4,2590.0,6.2,660919,457763,592178,456781,446334,543063,664774,621453,573262,54.29,,,,,,,,63,1,Slider,0,1,0,1,1,0,0,1,Standard,Standard,54.0,0.0,-0.042,,,,0.042,,-1,-1,0.194,0.194,23,30,24,31,1,3,3.0,2.0,3.0,1.0,3.17,-0.48,-0.48,31.9
SL,2021-10-11,87.5,-1.48,5.55,"Doval, Camilo",457759,666808,field_out,hit_into_play,,,,,14.0,Justin Turner flies out to right fielder Mike Yastrzemski.,D,R,R,LAD,SF,X,9.0,fly_ball,2,2,2021,0.73,-0.45,1.08,1.5,,,,2,8,Bot,190.18,112.04,,,,,4.716594516197506,-127.51225991849736,-2.8220742313959013,7.138661366718931,23.123286012724098,-36.77434074881578,3.32,1.51,288.0,82.5,33.0,88.5,2447.0,6.6,660919,457763,592178,456781,446334,543063,664774,621453,573262,53.92,0.026,0.031,0.0,1.0,0.0,0.0,3.0,59,5,Slider,0,1,0,1,1,0,0,1,Standard,Strategic,46.0,-0.031,-0.236,,,0.052,0.236,88.0,-1,-1,0.189,0.189,23,36,24,37,1,3,3.0,2.0,3.0,1.0,3.39,-0.73,-0.73,34.7
SL,2021-10-11,86.5,-1.31,5.62,"Doval, Camilo",457759,666808,,ball,,,,,1.0,Justin Turner flies out to right fielder Mike Yastrzemski.,D,R,R,LAD,SF,B,,,1,2,2021,0.81,-0.45,-0.72,3.44,,,,2,8,Bot,,,,,,,-0.2396649369632832,-126.0413021736759,1.8782683126861568,8.707367387764352,23.64603555701522,-37.50776095024815,3.34,1.57,,,,87.3,2335.0,6.5,660919,457763,592178,456781,446334,543063,664774,621453,573262,53.96,,,,,,,,59,4,Slider,0,1,0,1,1,0,0,1,Standard,Strategic,47.0,0.0,0.048,,,,-0.048,,-1,-1,0.189,0.189,23,36,24,37,1,3,3.0,2.0,3.0,1.0,3.46,-0.81,-0.81,34.0
SL,2021-10-11,86.8,-1.52,5.47,"Doval, Camilo",457759,666808,,swinging_strike,,,,,14.0,Justin Turner flies out to right fielder Mike Yastrzemski.,D,R,R,LAD,SF,S,,,1,1,2021,0.29,-0.65,0.48,0.58,,,,2,8,Bot,,,,,,,4.211125181771398,-126.34141986873048,-4.239744555597825,2.234662841004813,25.084406166321298,-38.49393651924297,3.32,1.51,,,,87.3,2240.0,6.5,660919,457763,592178,456781,446334,543063,664774,621453,573262,53.99,,,,,,,,59,3,Slider,0,1,0,1,1,0,0,1,Standard,Strategic,50.0,0.0,-0.069,,,,0.069,,-1,-1,0.189,0.189,23,36,24,37,1,3,3.0,2.0,3.0,1.0,3.67,-0.29,-0.29,31.9
SL,2021-10-11,86.3,-1.57,5.57,"Doval, Camilo",457759,666808,,swinging_strike,,,,,14.0,Justin Turner flies out to right fielder Mike Yastrzemski.,D,R,R,LAD,SF,S,,,1,0,2021,0.35,-0.2,0.32,1.38,,,,2,8,Bot,,,,,,,3.795005207751908,-125.80511596584893,-3.464813696046379,3.1122495296733876,21.205778514547887,-33.966877850596966,3.32,1.51,,,,86.9,2300.0,6.2,660919,457763,592178,456781,446334,543063,664774,621453,573262,54.32,,,,,,,,59,2,Slider,0,1,0,1,1,0,0,1,Standard,Strategic,47.0,0.0,-0.051,,,,0.051,,-1,-1,0.189,0.189,23,36,24,37,1,3,3.0,2.0,3.0,1.0,3.21,-0.35,-0.35,31.1
FC,2021-10-11,99.1,-1.64,5.5,"Doval, Camilo",457759,666808,,ball,,,,,12.0,Justin Turner flies out to right fielder Mike Yastrzemski.,D,R,R,LAD,SF,B,,,0,0,2021,-0.12,1.06,0.0,4.72,,,,2,8,Bot,,,,,,,4.786618613010305,-144.45506881668712,0.731699516040902,-2.6310079318714163,27.42963528699958,-17.451038577119302,3.43,1.57,,,,100.1,2652.0,6.4,660919,457763,592178,456781,446334,543063,664774,621453,573262,54.14,,,,,,,,59,1,Cutter,0,1,0,1,1,0,0,1,Standard,Strategic,211.0,0.0,0.04,,,,-0.04,,-1,-1,0.189,0.189,23,36,24,37,1,3,3.0,2.0,3.0,1.0,1.22,0.12,0.12,27.7
SL,2021-10-11,87.5,-1.69,5.63,"Doval, Camilo",608369,666808,field_out,hit_into_play,,,,,13.0,Corey Seager flies out to center fielder Steven Duggar.,D,L,R,LAD,SF,X,8.0,fly_ball,2,2,2021,0.68,0.05,-0.86,2.4,,,,1,8,Bot,91.25,78.98,,,,,0.5992929307918725,-127.66139316343084,-1.945708865060596,7.545351227812849,19.153220786704235,-31.48343348763626,3.55,1.63,310.0,97.9,32.0,88.8,2641.0,6.3,660919,457763,592178,456781,446334,543063,664774,621453,573262,54.16,0.343,0.62,0.0,1.0,0.0,0.0,5.0,58,5,Slider,0,1,0,1,1,0,0,1,Infield shift,Strategic,48.0,-0.046,-0.225,,,1.207,0.225,97.9,-1,-1,0.235,0.235,23,27,24,27,1,3,3.0,2.0,3.0,1.0,2.85,-0.68,0.68,32.6
SL,2021-10-11,88.0,-1.44,5.49,"Doval, Camilo",608369,666808,,ball,,,,,14.0,Corey Seager flies out to center fielder Steven Duggar.,D,L,R,LAD,SF,B,,,1,2,2021,0.79,-0.19,0.63,0.24,,,,1,8,Bot,,,,,,,3.4327584200658388,-128.14276454776393,-6.363409814635364,8.099436289554415,23.45620453717455,-33.291032422171924,3.44,1.51,,,,89.0,2508.0,6.6,660919,457763,592178,456781,446334,543063,664774,621453,573262,53.86,,,,,,,,58,4,Slider,0,1,0,1,1,0,0,1,Infield shift,Standard,39.0,0.0,0.044,,,,-0.044,,-1,-1,0.235,0.235,23,27,24,27,1,3,3.0,2.0,3.0,1.0,3.1,-0.79,0.79,33.4
